Event_Type,Average_Rate,Observed_Count
Event_1,4.370861069626263,1
Event_2,9.556428757689245,3
Event_3,7.587945476302646,2
Event_4,6.387926357773329,6
Event_5,2.4041677639819286,11
Event_6,2.403950683025824,6
Event_7,1.5227525095137953,2
Event_8,8.795585311974417,8
Event_9,6.41003510568888,6
Event_10,7.372653200164409,0
Event_11,1.185260448662222,4
Event_12,9.72918866945795,2
Event_13,8.491983767203795,19
Event_14,2.9110519961044856,5
Event_15,2.636424704863906,2
Event_16,2.650640588680904,8
Event_17,3.7381801866358395,10
Event_18,5.72280788469014,0
Event_19,4.887505167779041,10
Event_20,3.6210622617823773,8
Event_21,6.506676052501415,2
Event_22,2.2554447458683766,10
Event_23,3.629301836816963,1
Event_24,4.297256589643226,4
Event_25,5.104629857953324,1
Event_26,8.066583652537123,4
Event_27,2.7970640394252375,9
Event_28,5.628109945722504,3
Event_29,6.331731119758382,0
Event_30,1.4180537144799796,4
Event_31,6.467903667112945,7
Event_32,2.5347171131856236,5
Event_33,1.5854643368675156,5
Event_34,9.539969835279999,6
Event_35,9.690688297671034,14
Event_36,8.275576133048151,2
Event_37,3.741523922560336,4
Event_38,1.8790490260574548,5
Event_39,7.158097238609412,3
Event_40,4.961372443656412,13
Event_41,2.0983441136030097,4
Event_42,5.456592191001432,3
Event_43,1.3094966900369656,6
Event_44,9.18388361870904,3
Event_45,3.3290198344001523,4
Event_46,6.962700559185838,2
Event_47,3.8053996848046987,8
Event_48,5.680612190600297,5
Event_49,5.920392514089517,4
Event_50,2.6636900997297435,7
Event_51,9.726261649881026,8
Event_52,7.976195410250031,6
Event_53,9.455490474077703,1
Event_54,9.053446153848839,10
Event_55,6.381099809299767,15
Event_56,9.296868115208051,1
Event_57,1.7964325184672756,5
Event_58,2.763845761772307,12
Event_59,1.4070456001948426,5
Event_60,3.927972976869379,4
Event_61,4.498095607205338,2
Event_62,3.442141285965063,7
Event_63,8.458637582367365,3
Event_64,4.210779940242304,3
Event_65,3.5284105871864266,2
Event_66,5.884264748424236,6
Event_67,2.2683180247728636,4
Event_68,8.219772826786357,3
Event_69,1.6709557931179373,2
Event_70,9.881982429404655,7
Event_71,7.9502029236699165,3
Event_72,2.7884411338075514,1
Event_73,1.0496990541124216,7
Event_74,8.339152856093508,4
Event_75,7.361716094628554,8
Event_76,7.561064512368886,1
Event_77,7.941433120173512,5
Event_78,1.6664018656068134,4
Event_79,4.226191556898454,12
Event_80,2.0428215357261674,2
Event_81,8.767930832880342,3
Event_82,6.609683141448022,1
Event_83,3.9780822236738427,4
Event_84,1.5720251525742128,13
Event_85,3.79884089544096,3
Event_86,3.9266498982407234,7
Event_87,7.566455605042576,13
Event_88,6.738017242196918,8
Event_89,8.98491468318694,7
Event_90,5.249934326457543,2
Event_91,2.0763482134447155,3
Event_92,7.419203085006955,7
Event_93,7.847065437552077,13
Event_94,6.051494778125466,7
Event_95,7.938704619591049,5
Event_96,5.444160367279517,7
Event_97,5.704595464437946,8
Event_98,4.847869165226946,10
Event_99,1.2287721406968566,7
Event_100,1.97102284293974,7
